instrumento;cantidad;precio;moneda;total
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1406,41;ARS;0,01
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);3357;401,5;ARS;1347835,5
CEDEAR APPLE INC. (AAPL);182;14825;ARS;2698150
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);894;3165;ARS;2829510
CEDEAR META PLATFORMS INC. (META);103;28125;ARS;2896875
BANCO BBVA ARG ESC S 1 V. (BBAR);1021;4390;ARS;4482190
MOLINOS AGRO S.A. CL. B 1 V $ ESC. (MOLA);247;18375;ARS;4538625
EDENOR S.A.  B  1 VOTO (EDN);3965;1260;ARS;4995900
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);623;9640;ARS;6005720
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);7538;834;ARS;6286692
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);9740;908;ARS;8843920
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);6255;1705;ARS;10664775
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);358;30625;ARS;10963750
BONO REP ARGENTINA USD 1% 2029 (AL29);14191;78440;ARS;11131420,4
CEDEAR MERCADOLIBRE INC. (MELI);543;22225;ARS;12068175
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);4079;3015;ARS;12298185
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);675;22550;ARS;15221250
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);5486;2820;ARS;15470520
BONOS REP. ARG. U$S STEP UP V.09/07/35 (GD35);38971;58660;ARS;22860388,6
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);55825;69630;ARS;38870947,5
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);19916,78;1015,46;USD;20224,77
ARS;-2977,8;1;ARS;-2977,8
USD;1,4;1;USD;1,4
