instrumento;cantidad;precio;moneda;total
CEDEAR ISHARES MSCI BRAZIL CAP (EWZ);472;13425;ARS;6336600
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);6255;2170;ARS;13573350
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);3945;3950;ARS;15582750
CEDEAR MERCADOLIBRE INC. (MELI);1047;16975;ARS;17772825
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);855;21525;ARS;18403875
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);386;50300;ARS;19415800
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);4870;4165;ARS;20283550
EDENOR S.A.  B  1 VOTO (EDN);10124;2540;ARS;25714960
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);41653;88870;ARS;37017021,1
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);57390;88050;ARS;50531895
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);4,49;1030,76;USD;4,63
ARS;-6112,92;1;ARS;-6112,92
EXT;5,19;1;EXT;5,19
USD;-0,59;1;USD;-0,59
