instrumento;cantidad;precio;moneda;total
BANCO PATAGONIA ACCIONES CL. B  $ ESC. (BPAT);571;53,35;ARS;30460,57
CEDEAR BERKSHIRE HATHAWAY INC. (BRKB);19;22489,5;ARS;427300,5
AGROMETAL S.A.I. ESCR. 1 VOTO (AGRO);13171;61,3;ARS;807382,3
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);953;895;ARS;852935
CEDEAR ENERGY SELECT SECTOR SPDR FUND (XLE);16;53500;ARS;856000
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);233;3860;ARS;899380
BANCO MACRO S.A. B  1 V. ESCRIT (BMA);224;4148;ARS;929152
CRESUD S.A.  ORD. 1 VOTO ESCRITURAL (CRES);843;1120;ARS;944160
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);5177;199;ARS;1030223
CEDEAR INVESCO QQQ TRUST (QQQ);40;26464,5;ARS;1058580
ON YPF CL. 25 V13/02/26 U$S CG EF (YMCQO);1036;106440;ARS;1102718,4
GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);429;2675,1;ARS;1147617,9
BANCO BBVA ARG ESC S 1 V. (BBAR);530;2581,6;ARS;1368248
CEDEAR ALPHABET INC. CL  A  (GOOGL);489;3070;ARS;1501230
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);1668;1035,5;ARS;1727214
BONO REP ARGENTINA USD 1% 2029 (AL29);4695;47005;ARS;2206884,75
CEDEAR META PLATFORMS INC. (META);114;19455;ARS;2217870
CEDEAR APPLE INC. (AAPL);199;11401;ARS;2268799
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);2423;1053,5;ARS;2552630,5
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);149;21794,3;ARS;3247350,7
CEDEAR SPDR S&P 500 (SPY);123;29920;ARS;3680160
CEDEAR MERCADOLIBRE INC. (MELI);226;18079;ARS;4085854
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);304;14095;ARS;4284880
FCI COCOS AHORRO CL.A $ ESC (COCOA);8759063,11;1038,71;ARS;9098108,92
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);23163;46665;ARS;10809013,95
ARS;1483666,96;1;ARS;1483666,96
USD;4622,33;1;USD;4622,33
