instrumento;cantidad;precio;moneda;total
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1113,05;ARS;0,01
MOLINOS J.SEMINO ESCRIT.1 V. (SEMI);4692;107,49;ARS;504357,16
AGROMETAL S.A.I. ESCR. 1 VOTO (AGRO);13171;45,6;ARS;600597,6
CRESUD S.A.  ORD. 1 VOTO ESCRITURAL (CRES);843;807,35;ARS;680596,05
CEDEAR SPDR S&P 500 (SPY);35;26966,5;ARS;943827,5
CEDEAR INVESCO QQQ TRUST (QQQ);40;24559;ARS;982360
CEDEAR APPLE INC. (AAPL);113;9453;ARS;1068189
CEDEAR ALPHABET INC. CL  A  (GOOGL);569;2499,5;ARS;1422215,5
BANCO MACRO S.A. B  1 V. ESCRIT (BMA);366;3901;ARS;1427766
CEDEAR META PLATFORMS INC. (META);86;20150;ARS;1732900
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);9273;200;ARS;1854600
BANCO BBVA ARG ESC S 1 V. (BBAR);1026;2120;ARS;2175120
BONO REP ARGENTINA USD 1% 2029 (AL29);4695;49000;ARS;2300550
MOLINOS AGRO S.A. CL. B 1 V $ ESC. (MOLA);112;20600;ARS;2307200
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);3130;766;ARS;2397580
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);2042;1213,5;ARS;2477967
GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);1088;2355;ARS;2562240
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);585;4621;ARS;2703285
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);1492;1837,95;ARS;2742221,4
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);162;18613,85;ARS;3015443,7
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);2004;1699,5;ARS;3405798
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);4507;774,5;ARS;3490671,5
ON YPF CL. 25 V13/02/26 U$S CG EF (YMCQO);5044;95100;ARS;4796844
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);380;12922;ARS;4910360
CEDEAR MERCADOLIBRE INC. (MELI);389;14349;ARS;5581761
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);27457;46865;ARS;12867723,05
ARS;1798,43;1;ARS;1798,43
USD;1404,13;1;USD;1404,13
