instrumento;cantidad;precio;moneda;total
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1364,06;ARS;0,01
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);3357;370,5;ARS;1243768,5
EDENOR S.A.  B  1 VOTO (EDN);2231;1065;ARS;2376015
CEDEAR APPLE INC. (AAPL);182;14300;ARS;2602600
CEDEAR META PLATFORMS INC. (META);103;25425;ARS;2618775
BANCO BBVA ARG ESC S 1 V. (BBAR);726;3680;ARS;2671680
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);894;3650;ARS;3263100
BONO REP ARGENTINA USD 1% 2029 (AL29);4695;72790;ARS;3417490,5
MOLINOS AGRO S.A. CL. B 1 V $ ESC. (MOLA);247;19275;ARS;4760925
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);623;7790;ARS;4853170
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);6493;944;ARS;6129392
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);238;25775;ARS;6134450
CEDEAR SPDR S&P 500 (SPY);182;35400;ARS;6442800
BONOS REP. ARG. U$S STEP UP V.09/07/35 (GD35);14100;54620;ARS;7701420
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);5351;1685;ARS;9016435
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);9740;957;ARS;9321180
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);4512;2345;ARS;10580640
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);4079;2795;ARS;11400805
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);623;19300;ARS;12023900
CEDEAR MERCADOLIBRE INC. (MELI);723;17925;ARS;12959775
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);30558;64990;ARS;19859644,2
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);34735,93;1011,33;USD;35129,45
ARS;98799,84;1;ARS;98799,84
USD;-2,37;1;USD;-2,37
