instrumento;cantidad;precio;moneda;total
Dólar estadounidense ();1,14;0;0;0
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1179,52;ARS;0,01
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);1290;56990;ARS;735171
CEDEAR ALPHABET INC. CL  A  (GOOGL);285;2817,5;ARS;802987,5
AGROMETAL S.A.I. ESCR. 1 VOTO (AGRO);22418;49;ARS;1098482
CEDEAR APPLE INC. (AAPL);142;9440;ARS;1340480
BANCO MACRO S.A. B  1 V. ESCRIT (BMA);366;5410;ARS;1980060
MOLINOS AGRO S.A. CL. B 1 V $ ESC. (MOLA);112;20600;ARS;2307200
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);11933;197,5;ARS;2356767,5
CEDEAR META PLATFORMS INC. (META);103;24398;ARS;2512994
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);836;3110;ARS;2599960
BONO REP ARGENTINA USD 1% 2029 (AL29);4695;56360;ARS;2646102
GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);1088;2820;ARS;3068160
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);2694;1213;ARS;3267822
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);172;21900;ARS;3766800
CEDEAR SPDR S&P 500 (SPY);146;27804;ARS;4059384
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);4892;890;ARS;4353880
BANCO BBVA ARG ESC S 1 V. (BBAR);1517;3099;ARS;4701183
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);2803;1873,2;ARS;5250579,6
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);2647;2007,5;ARS;5313852,5
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);414;15001,5;ARS;6210621
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);7789;911,5;ARS;7099673,5
ON YPF CL. 25 V13/02/26 U$S CG EF (YMCQO);7423;101250;ARS;7515787,5
CEDEAR MERCADOLIBRE INC. (MELI);640;13749;ARS;8799360
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);27457;54900;ARS;15073893
ARS;2695888,11;1;ARS;2695888,11
USD;3875,1;1;USD;3875,1
