instrumento;cantidad;precio;moneda;total
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1252,09;ARS;0,01
CEDEAR APPLE INC. (AAPL);182;9375;ARS;1706250
CEDEAR TESLA, INC. (TSLA);128;13700;ARS;1753600
CEDEAR META PLATFORMS INC. (META);103;19750;ARS;2034250
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);894;2955;ARS;2641770
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);8950;330;ARS;2953500
BONO REP ARGENTINA USD 1% 2029 (AL29);4695;63760;ARS;2993532
GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);1088;3594,95;ARS;3911305,6
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);4892;851;ARS;4163092
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);623;6920;ARS;4311160
CEDEAR SPDR S&P 500 (SPY);182;27720;ARS;5045040
MOLINOS AGRO S.A. CL. B 1 V $ ESC. (MOLA);247;20600;ARS;5088200
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);3945;1299,5;ARS;5126527,5
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);238;24000;ARS;5712000
BANCO BBVA ARG ESC S 1 V. (BBAR);1707;3640;ARS;6213480
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);2816;2300;ARS;6476800
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);7789;859,5;ARS;6694645,5
ON YPF CL. 25 V13/02/26 U$S CG EF (YMCQO);7423;99500;ARS;7385885
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);3787;1999,75;ARS;7573053,25
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);534;15970;ARS;8527980
CEDEAR MERCADOLIBRE INC. (MELI);723;13479,5;ARS;9745678,5
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);24808;61050;ARS;15145284
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);7693,14;1001;USD;7700,86
ARS;2994449,7;1;ARS;2994449,7
USD;1978,25;1;USD;1978,25
