"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-11-13","Venta","-471","0","ARS"
"2024-10-23","Compra","154","13600","ARS"
"2024-10-16","Compra","317","13650","ARS"
"2024-10-15","Venta","-182","0","ARS"
"2024-03-26","Compra","40","9425.8625","ARS"
"2024-03-04","Compra","29","9279.896551724138","ARS"
"2024-02-23","Venta","-37","0","ARS"
"2024-02-19","Venta","-49","0","ARS"
"2024-01-29","Compra","56","12000","ARS"
"2024-01-26","Canje ratio cedear","74","10883.51148647","ARS"
"2024-01-26","Canje ratio cedear","-37","21767.02297293","ARS"
"2024-01-24","Compra","69","12630","ARS"
"2024-01-18","Compra","2","24300.5","ARS"
"2024-01-12","Compra","35","21600","ARS"
