"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-12-17","Venta","-19912","0","ARS"
"2024-12-17","Compra","9256","80.91259723422645","USD"
"2024-11-20","Venta","-3552","0","ARS"
"2024-11-14","Compra","17","86230","ARS"
"2024-08-05","Compra","9496","52.09740943555181","USD"
"2024-01-29","Compra","31","48868.06451612903","ARS"
"2024-01-25","Compra","14","51260","ARS"
"2024-01-23","Venta","-1550","0","ARS"
"2024-01-19","Compra","3830","47045.58746736292","ARS"
"2024-01-12","Compra","2370","42100","ARS"
