"Fecha,""Tipo"",""Nominales"",""Precio"",""Moneda"""
"2024-11-13,""Venta"",""-4870"",""803.22"",""ARS"""
"2024-10-21,""Venta"",""-4870"",""826.13"",""ARS"""
"2024-07-22,""Compra"",""2"",""1045"",""ARS"""
"2024-05-07,""Compra"",""541"",""885"",""ARS"""
"2024-05-03,""Compra"",""378"",""879.5"",""ARS"""
"2024-04-29,""Compra"",""1030"",""875"",""ARS"""
"2024-03-22,""Compra"",""2129"",""938.0098637858149"",""ARS"""
"2024-03-04,""Compra"",""1153"",""868.2580225498699"",""ARS"""
"2024-02-23,""Compra"",""1366"",""825"",""ARS"""
"2024-02-19,""Compra"",""303"",""881.5"",""ARS"""
"2024-02-09,""Compra"",""32"",""990.5"",""ARS"""
"2024-02-05,""Compra"",""988"",""1022"",""ARS"""
"2024-01-31,""Venta"",""-605"",""1126.54"",""ARS"""
"2024-01-18,""Compra"",""1063"",""1056.5145813734714"",""ARS"""
"2024-01-17,""Compra"",""851"",""1030"",""ARS"""
"2024-01-12,""Compra"",""509"",""1010"",""ARS"""
