"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-12-17","Venta","-1021","0","ARS"
"2024-08-19","Compra","295","4375","ARS"
"2024-07-05","Venta","-726","0","ARS"
"2024-07-03","Venta","-483","0","ARS"
"2024-06-24","Compra","228","4085","ARS"
"2024-04-24","Compra","425","3195.838823529412","ARS"
"2024-04-04","Venta","-144","0","ARS"
"2024-04-04","Compra","144","3088.05","ARS"
"2024-04-04","Venta","-235","0","ARS"
"2024-03-11","Compra","102","2389.6","ARS"
"2024-03-05","Compra","225","2222.8933333333334","ARS"
"2024-02-28","Compra","164","2196.5853658536585","ARS"
"2024-02-16","Compra","139","2139.931654676259","ARS"
"2024-02-05","Compra","226","2481","ARS"
"2024-02-01","Compra","131","2585.812595419847","ARS"
"2024-01-23","Compra","183","2375.0562841530054","ARS"
"2024-01-22","Compra","249","2346","ARS"
"2024-01-18","Compra","89","2140.5898876404494","ARS"
"2024-01-17","Compra","9","1960.5","ARS"
