"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-10-16","Venta","-3357","0","ARS"
"2024-07-24","Venta","-3356","0","ARS"
"2024-07-03","Venta","-2237","0","ARS"
"2024-04-04","Venta","-2983","0","ARS"
"2024-03-11","Compra","166","182","ARS"
"2024-03-05","Compra","2494","197","ARS"
"2024-02-27","Compra","2048","207","ARS"
"2024-02-19","Compra","2048","178.25","ARS"
"2024-01-29","Venta","-1725","0","ARS"
"2024-01-24","Compra","2253","219.5","ARS"
"2024-01-23","Compra","2476","225","ARS"
"2024-01-22","Compra","2173","230","ARS"
