"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-03","Venta","-3500","894.1","ARS"
"2024-12-17","Venta","-10000","74.5454","USD"
"2024-11-20","Compra","42863","78874.99965004783","ARS"
"2024-09-11","Compra","8790","57.05824800910125","USD"
"2024-04-11","Venta","-1290","0","ARS"
"2024-02-28","Compra","1290","48750","ARS"
"2024-01-23","Venta","-2412","0","ARS"
"2024-01-19","Compra","1161","50490","ARS"
"2024-01-18","Compra","261","51000","ARS"
"2024-01-12","Compra","990","46537.63636363636","ARS"
