"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-02-13","Venta","-461","2051.0629","ARS"
"2025-02-10","Venta","-461","2140.9978","ARS"
"2025-02-04","Venta","-2594","2209.2271","ARS"
"2025-01-31","Venta","-1500","2175.7133","ARS"
"2025-01-21","Venta","-900","2220","ARS"
"2025-01-14","Venta","-339","2311.7994100294986","ARS"
"2024-08-14","Compra","904","1657.245575221239","ARS"
"2024-07-12","Compra","79","2035","ARS"
"2024-05-28","Compra","53","1525","ARS"
"2024-05-21","Compra","458","1479.524017467249","ARS"
"2024-04-29","Compra","816","1225.8921568627452","ARS"
"2024-04-24","Compra","548","1144.0693430656934","ARS"
"2024-04-11","Compra","298","1277.2281879194632","ARS"
"2024-03-26","Compra","405","1246","ARS"
"2024-03-04","Compra","652","1137.967791411043","ARS"
"2024-02-27","Compra","349","1180","ARS"
"2024-02-26","Compra","326","1225","ARS"
"2024-02-05","Compra","429","1560","ARS"
"2024-01-30","Venta","-15","0","ARS"
"2024-01-24","Compra","405","1589","ARS"
"2024-01-17","Compra","248","1503","ARS"
"2024-01-12","Compra","300","1540","ARS"
