"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-03","Venta","-300","17821.083333333332","ARS"
"2024-11-21","Compra","180","17450","ARS"
"2024-11-14","Compra","324","18000","ARS"
"2024-08-05","Venta","-180","0","ARS"
"2024-04-24","Compra","83","12156.373493975903","ARS"
"2024-03-25","Compra","89","14050.095505617977","ARS"
"2024-03-22","Compra","71","14252.845070422534","ARS"
"2024-03-20","Compra","91","13766.164835164835","ARS"
"2024-02-23","Compra","138","15073.623188405796","ARS"
"2024-02-06","Compra","1","17832.5","ARS"
"2024-01-30","Compra","24","18690","ARS"
"2024-01-26","Canje ratio cedear","-68","36825.96602943","ARS"
"2024-01-26","Canje ratio cedear","136","18412.98301472","ARS"
"2024-01-25","Compra","90","19087.833333333332","ARS"
"2024-01-22","Compra","43","37900.441860465115","ARS"
"2024-01-18","Compra","3","35805","ARS"
"2024-01-17","Compra","22","34755","ARS"
