"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-03-07","Venta","-908490","0.10598905876784555","USD"
"2024-03-06","Compra","908490","110","ARS"
"2024-02-19","Compra","2285713","0.09800968013044507","USD"
"2024-02-19","Venta","-2285713","0","ARS"
"2024-02-07","Venta","-1456626","0.0829917906174955","USD"
"2024-02-06","Compra","1456626","103","ARS"
"2024-01-22","Venta","-229213","0.08899146208984657","USD"
"2024-01-19","Compra","229213","110","ARS"
"2024-01-16","Venta","-6097727","0.08799114817701743","USD"
"2024-01-15","Compra","6097727","100","ARS"
