"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-17","Compra","921","4100","ARS"
"2025-01-14","Venta","-1000","4373.15","ARS"
"2024-12-30","Venta","-1500","0","ARS"
"2024-10-28","Compra","884","3120","ARS"
"2024-08-19","Compra","563","2660","ARS"
"2024-08-05","Compra","411","2149.610705596107","ARS"
"2024-05-13","Compra","231","1979.9","ARS"
"2024-05-09","Compra","273","2121.95","ARS"
"2024-05-07","Compra","221","2154","ARS"
"2024-04-24","Compra","276","1867.0876811594203","ARS"
"2024-04-16","Compra","348","1796","ARS"
"2024-03-26","Compra","360","1869.35","ARS"
"2024-03-25","Compra","373","1882.922252010724","ARS"
"2024-03-22","Compra","758","1913.9715039577836","ARS"
"2024-03-04","Compra","180","1787.0444444444445","ARS"
"2024-02-26","Compra","429","1978.65","ARS"
"2024-02-23","Compra","306","1927.2140522875818","ARS"
"2024-02-19","Compra","292","1908.9931506849316","ARS"
"2024-02-16","Compra","465","1917.465376344086","ARS"
