"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-08-06","Venta","-182","0","ARS"
"2024-04-04","Compra","10","28056.5","ARS"
"2024-03-27","Compra","13","28709.5","ARS"
"2024-03-26","Compra","13","28730","ARS"
"2024-03-25","Compra","33","28349.848484848484","ARS"
"2024-03-22","Compra","17","28659.79411764706","ARS"
"2024-03-13","Compra","19","28165","ARS"
"2024-03-11","Compra","13","26441.26923076923","ARS"
"2024-03-05","Compra","19","26640","ARS"
"2024-03-04","Compra","10","27298.5","ARS"
"2024-02-23","Venta","-11","0","ARS"
"2024-02-19","Venta","-76","0","ARS"
"2024-02-09","Venta","-1","0","ARS"
"2024-01-26","Compra","17","30540","ARS"
"2024-01-25","Compra","31","31900","ARS"
"2024-01-22","Compra","75","31962.29333333333","ARS"
