"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-17","Compra","865","3856.93063584","ARS"
"2024-10-28","Compra","996","3010","ARS"
"2024-10-21","Venta","-1400","0","ARS"
"2024-10-15","Compra","270","3055","ARS"
"2024-05-13","Compra","190","2400","ARS"
"2024-05-09","Compra","174","2490","ARS"
"2024-05-07","Compra","377","2531.9602122015917","ARS"
"2024-04-29","Compra","522","2300","ARS"
"2024-04-11","Compra","169","2199","ARS"
"2024-03-22","Compra","237","1985","ARS"
"2024-03-05","Compra","406","1645","ARS"
"2024-02-27","Compra","309","1680","ARS"
"2024-02-26","Compra","447","1788.910514541387","ARS"
"2024-02-23","Compra","353","1799.539660056657","ARS"
"2024-02-19","Compra","591","1943.5634517766498","ARS"
"2024-02-16","Compra","304","1949.0065789473683","ARS"
