"Fecha,""Tipo"",""Nominales"",""Precio"",""Moneda"""
"2024-11-11,""Venta"",""-4829"",""782.24"",""ARS"""
"2024-10-28,""Venta"",""-1609"",""780.69"",""ARS"""
"2024-10-25,""Compra"",""10"",""794"",""ARS"""
"2024-10-21,""Compra"",""2659"",""795"",""ARS"""
"2024-10-16,""Venta"",""-3769"",""803.22"",""ARS"""
"2024-08-05,""Compra"",""1045"",""838"",""ARS"""
"2024-05-09,""Compra"",""166"",""874"",""ARS"""
"2024-05-03,""Compra"",""284"",""877.5"",""ARS"""
"2024-04-29,""Compra"",""1151"",""870.6685490877497"",""ARS"""
"2024-03-22,""Compra"",""664"",""871"",""ARS"""
"2024-03-04,""Compra"",""755"",""811.2013245033113"",""ARS"""
"2024-02-28,""Compra"",""343"",""785"",""ARS"""
"2024-02-27,""Compra"",""620"",""844.0193548387097"",""ARS"""
"2024-02-26,""Compra"",""842"",""876"",""ARS"""
"2024-01-29,""Venta"",""-555"",""911.72"",""ARS"""
"2024-01-22,""Compra"",""13"",""963"",""ARS"""
"2024-01-19,""Compra"",""3"",""960"",""ARS"""
"2024-01-18,""Compra"",""666"",""990"",""ARS"""
"2024-01-17,""Compra"",""1052"",""950.5"",""ARS"""
"2024-01-12,""Compra"",""489"",""896.5"",""ARS"""
