"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-05-19","Compra","18","19575","ARS"
"2025-04-09","Compra","133","15000","ARS"
"2025-02-27","Compra","164","20268.5976","ARS"
"2025-01-17","Compra","165","22900","ARS"
"2025-01-03","Compra","236","21100","ARS"
"2024-12-30","Venta","-427","0","ARS"
"2024-11-11","Compra","142","18350","ARS"
"2024-10-04","Compra","38","19700","ARS"
"2024-08-19","Compra","52","21250","ARS"
"2024-05-03","Compra","46","16108.282608695652","ARS"
"2024-04-29","Compra","43","15498","ARS"
"2024-04-16","Compra","64","14872.5","ARS"
"2024-04-04","Compra","56","14814.607142857143","ARS"
"2024-03-25","Compra","34","15508","ARS"
"2024-02-05","Compra","72","13507.125","ARS"
"2024-02-02","Compra","4","14058","ARS"
"2024-01-29","Compra","28","13864.5","ARS"
"2024-01-26","Canje ratio cedear","184","17489.35415218","ARS"
"2024-01-23","Compra","13","41316.5","ARS"
"2024-01-17","Compra","79","37982","ARS"
