"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-17","Compra","49","50150","ARS"
"2024-10-04","Compra","28","27650","ARS"
"2024-08-19","Compra","45","27900","ARS"
"2024-08-05","Compra","75","23100","ARS"
"2024-04-24","Compra","23","21820","ARS"
"2024-04-16","Compra","43","21470","ARS"
"2024-02-28","Compra","10","18674.25","ARS"
"2024-02-19","Compra","13","18875","ARS"
"2024-01-22","Compra","68","19700","ARS"
"2024-01-17","Compra","26","18460.85","ARS"
"2024-01-16","Compra","19","18200","ARS"
"2024-01-12","Compra","36","18930","ARS"
