instrumento;cantidad;precio;moneda;total
BANCO BBVA ARG ESC S 1 V. (BBAR);1021;6170;ARS;6299570
BONO REP ARGENTINA USD 1% 2029 (AL29);10656;83490;ARS;8896694,4
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);6255;2275;ARS;14230125
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);3945;4155;ARS;16391475
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);855;20000;ARS;17100000
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);386;45175;ARS;17437550
CEDEAR MERCADOLIBRE INC. (MELI);1047;18450;ARS;19317150
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);6370;3855;ARS;24556350
EDENOR S.A.  B  1 VOTO (EDN);13124;2160;ARS;28347840
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);49361;76390;ARS;37706867,9
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);51653;78310;ARS;40449464,3
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);24281,21;1027,03;USD;24937,46
ARS;-25336,05;1;ARS;-25336,05
EXT;5,19;1;EXT;5,19
USD;7,33;1;USD;7,33
