instrumento;cantidad;precio;moneda;total
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1496,98;ARS;0,01
CEDEAR META PLATFORMS INC. (META);52;27325;ARS;1420900
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);4829;795;ARS;3839055
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);4870;843;ARS;4105410
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);1774;2950;ARS;5233300
BANCO BBVA ARG ESC S 1 V. (BBAR);1021;5280;ARS;5390880
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);623;8870;ARS;5526010
CEDEAR APPLE INC. (AAPL);471;13100;ARS;6170100
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);8790;74520;ARS;6550308
EDENOR S.A.  B  1 VOTO (EDN);5554;1665;ARS;9247410
CEDEAR MERCADOLIBRE INC. (MELI);543;19650;ARS;10669950
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);386;28350;ARS;10943100
BONO REP ARGENTINA USD 1% 2029 (AL29);14191;81200;ARS;11523092
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);6255;1925;ARS;12040875
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);3945;3225;ARS;12722625
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);713;19250;ARS;13725250
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);6370;3105;ARS;19778850
BONOS REP. ARG. U$S STEP UP V.09/07/35 (GD35);47066;65550;ARS;30851763
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);65814;72300;ARS;47583522
ARS;-6698,64;1;ARS;-6698,64
EXT;1,37;1;EXT;1,37
USD;-2,6;1;USD;-2,6
