instrumento;cantidad;precio;moneda;total
EDENOR S.A.  B  1 VOTO (EDN);4870;1172;ARS;5707640
FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);894907,28;9240,56;ARS;8269442,61
GRUPO FINANCIERO GALICIA S.A ESCRIT.  B  1 V (GGAL);2347;4190;ARS;9833930
CEDEAR PAGSEGURO DIGITAL LTD (PAGS);2118;5135;ARS;10875930
CEDEAR SPDR S&P 500 (SPY);216;52475;ARS;11334600
BANCO BBVA ARG ESC S 1 V. (BBAR);2863;4177,5;ARS;11960182,5
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);5959;2241;ARS;13354119
CEDEAR MERCADOLIBRE INC. (MELI);492;28540;ARS;14041680
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);1144;17690;ARS;20237360
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);30707;76150;ARS;23383380,5
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);695;37000;ARS;25715000
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);7098;3660;ARS;25978680
CEDEAR ISHARES MSCI BRAZIL CAP (EWZ);1235;24040;ARS;29689400
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);73704;82130;ARS;60533095,2
FCI COCOS DOLARES PLUS CL.A UDS ESC (COCOUSDPA);34625,61;1010,75;USD;34997,77
ARS;3051170,66;1;ARS;3051170,66
EXT;-0,27;1;EXT;-0,27
USD;0,19;1;USD;0,19
