instrumento;cantidad;precio;moneda;total
Dólar estadounidense ();1,37;0;0;0
FCI COCOS AHORRO CL.A $ ESC (COCOA);0,01;1450,3;ARS;0,01
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);3357;384,5;ARS;1290766,5
CEDEAR APPLE INC. (AAPL);182;14350;ARS;2611700
MOLINOS RIO DE LA PLATA ESCRIT.  B 1 VOTOS (MOLI);894;3040;ARS;2717760
CEDEAR META PLATFORMS INC. (META);103;29575;ARS;3046225
BANCO BBVA ARG ESC S 1 V. (BBAR);1021;4270;ARS;4359670
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);623;8510;ARS;5301730
EDENOR S.A.  B  1 VOTO (EDN);3965;1370;ARS;5432050
TERNIUM ARG S.A.ORDS. A 1 VOTO ESC (TXAR);7538;831;ARS;6264078
BONOS REP. ARG. U$S STEP UP V.09/07/30 (GD30);8790;72400;ARS;6363960
ALUAR S.A ORD 1 V ESCRITURALES (ALUA);9740;864;ARS;8415360
YPF S.A. ESCRIT.  D  1 VOTO (YPFD);358;26400;ARS;9451200
BONO REP ARGENTINA USD 1% 2029 (AL29);14191;78650;ARS;11161221,5
CEDEAR MERCADOLIBRE INC. (MELI);543;21200;ARS;11511600
HOLCIM (ARGENTINA) ESCRIT. ORD. 1 VOTO (HARG);6255;1915;ARS;11978325
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);675;18175;ARS;12268125
TRANS. GAS DEL NORTE  C  ORD $ ESC (TGNO4);4079;3180;ARS;12971220
PAMPA ENERGIA S.A. ESCRIT.  1 VOTO (PAMP);5486;2970;ARS;16293420
BONOS REP. ARG. U$S STEP UP V.09/07/35 (GD35);47066;61000;ARS;28710260
BONO REP. ARGENTINA USD STEP UP 2030 (AL30);55825;70800;ARS;39524100
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);15002,43;1019,81;USD;15299,67
ARS;-4342,1;1;ARS;-4342,1
USD;-14,02;1;USD;-14,02
